inst#,predicted,prediction,REVIEW-ID,CLASS
1,positive,0.48,52447,positive
2,positive,0.49,68745,positive
3,positive,0.87,69711,positive
4,positive,0.8,35164,positive
5,positive,0.94,31360,positive
6,negative,0.8,67627,negative
7,positive,0.59,39339,positive
8,positive,0.69,61907,positive
9,positive,0.45,37550,positive
10,positive,0.67,44796,positive
11,negative,0.62,36976,negative
12,positive,0.69,68899,positive
13,negative,0.45,55569,negative
14,positive,0.89,7366,positive
15,positive,0.62,33952,positive
16,positive,0.79,27689,positive
17,positive,0.65,55763,positive
18,negative,0.52,29553,negative
19,positive,0.45,49221,positive
20,positive,0.83,56576,positive
21,positive,0.55,8533,positive
22,positive,0.44,7397,positive
23,positive,0.5,35460,positive
24,negative,0.57,30184,negative
25,positive,0.89,12470,positive
26,positive,0.819,72201,positive
27,positive,0.58,50617,positive
28,negative,0.47,2492,negative
29,positive,0.67,72272,positive
30,positive,0.63,11160,positive
31,positive,0.58,36442,positive
32,positive,0.55,35346,positive
33,positive,0.68,60641,positive
34,positive,0.63,58771,positive
35,positive,0.94,17224,positive
36,negative,0.56,60405,negative
37,negative,0.44,25912,negative
38,negative,0.64,58202,negative
39,positive,0.79,64952,positive
40,positive,0.5,67485,positive
41,negative,0.57,32201,negative
42,positive,0.75,23190,positive
43,positive,0.53,9696,positive
44,positive,0.43,43799,positive
45,positive,0.63,70285,positive
46,positive,0.63,41060,positive
47,positive,0.63,61279,positive
48,positive,0.87,30498,positive
49,positive,0.35,8637,positive
50,positive,0.77,2798,positive
51,negative,0.52,67850,negative
52,positive,0.62,12286,positive
53,positive,0.86,70932,positive
54,positive,0.47,56124,positive
55,negative,0.77,10,negative
56,positive,0.92,31677,positive
57,positive,0.74,54622,positive
58,positive,0.78,56208,positive
59,negative,0.682,697,negative
60,positive,0.8,59680,positive
61,negative,0.68,40405,negative
62,positive,0.85,28040,positive
63,negative,0.6,18063,negative
64,positive,0.5,14422,positive
65,positive,0.68,2597,positive
66,positive,0.63,47039,positive
67,positive,0.91,60892,positive
68,positive,0.8,56316,positive
69,positive,0.73,5070,positive
70,positive,0.55,2778,positive
71,positive,0.83,38016,positive
72,positive,0.57,43338,positive
73,positive,0.55,29186,positive
74,positive,0.56,10188,positive
75,positive,0.39,17528,positive
76,negative,0.463,36838,negative
77,positive,0.7,19314,positive
78,positive,0.48,54533,positive
79,positive,0.54,41614,positive
80,positive,0.83,40978,positive
81,positive,0.64,57212,positive
82,positive,0.55,36300,positive
83,positive,0.44,31957,positive
84,negative,0.75,14426,negative
85,positive,0.82,69791,positive
86,positive,0.42,47309,positive
87,positive,0.88,42406,positive
88,negative,0.41,26856,negative
89,positive,0.65,46338,positive
90,negative,0.63,43969,negative
91,positive,0.74,53662,positive
92,positive,0.77,36683,positive
93,positive,0.56,49778,positive
94,positive,0.62,66575,positive
95,positive,0.65,44927,positive
96,positive,0.46,11389,positive
97,positive,0.61,10193,positive
98,positive,0.76,65687,positive
99,positive,0.47,25550,positive
100,positive,0.55,5355,positive
101,positive,0.74,24191,positive
102,positive,0.47,45221,positive
103,positive,0.69,43655,positive
104,positive,0.55,48161,positive
105,positive,0.96,35448,positive
106,positive,0.66,12447,positive
107,positive,0.67,16691,positive
108,positive,0.82,41936,positive
109,negative,0.55,29043,negative
110,positive,0.8,36680,positive
111,positive,0.65,40883,positive
112,positive,0.57,28929,positive
113,positive,0.8,58891,positive
114,positive,0.75,29370,positive
115,positive,0.72,56061,positive
116,positive,0.67,14473,positive
117,positive,0.45,25395,positive
118,negative,0.74,10941,negative
119,positive,0.56,70933,positive
120,positive,0.94,35499,positive
121,positive,0.51,40917,positive
122,positive,0.39,66898,positive
123,positive,0.79,39,positive
124,positive,0.82,70349,positive
