=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     final_test_3
Instances:    10000
Attributes:   659
              [list of attributes omitted]
Test mode:    evaluate on training data

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 63.73 seconds

=== Predictions on training set ===

inst#,actual,predicted,error,prediction
1,1:positive,1:positive,,0.93
2,1:positive,1:positive,,0.97
3,1:positive,1:positive,,1
4,1:positive,1:positive,,0.94
5,1:positive,1:positive,,1
6,2:negative,2:negative,,0.92
7,1:positive,1:positive,,0.94
8,1:positive,1:positive,,0.97
9,1:positive,1:positive,,0.95
10,1:positive,1:positive,,0.89
11,2:negative,2:negative,,0.9
12,1:positive,1:positive,,0.97
13,2:negative,2:negative,,0.77
14,1:positive,1:positive,,0.99
15,1:positive,1:positive,,0.93
16,1:positive,1:positive,,0.97
17,1:positive,1:positive,,0.97
18,2:negative,2:negative,,0.89
19,1:positive,1:positive,,0.99
20,1:positive,1:positive,,0.99
21,1:positive,1:positive,,0.86
22,1:positive,1:positive,,0.89
23,1:positive,1:positive,,0.88
24,2:negative,2:negative,,0.8
25,1:positive,1:positive,,1
26,1:positive,1:positive,,0.96
27,1:positive,1:positive,,0.94
28,2:negative,2:negative,,0.68
29,1:positive,1:positive,,0.99
30,1:positive,1:positive,,0.92
31,1:positive,1:positive,,0.99
32,1:positive,1:positive,,0.95
33,1:positive,1:positive,,0.93
34,1:positive,1:positive,,0.93
35,1:positive,1:positive,,0.99
36,2:negative,2:negative,,0.85
37,2:negative,2:negative,,0.73
38,2:negative,2:negative,,0.76
39,1:positive,1:positive,,0.97
40,1:positive,1:positive,,0.87
41,2:negative,2:negative,,0.87
42,1:positive,1:positive,,0.92
43,1:positive,1:positive,,0.99
44,1:positive,1:positive,,0.89
45,1:positive,1:positive,,0.95
46,1:positive,1:positive,,0.94
47,1:positive,1:positive,,0.98
48,1:positive,1:positive,,1
49,1:positive,1:positive,,0.88
50,1:positive,1:positive,,0.95
51,2:negative,2:negative,,0.77
52,1:positive,1:positive,,0.95
53,1:positive,1:positive,,0.96
54,1:positive,1:positive,,0.81
55,2:negative,2:negative,,0.88
56,1:positive,1:positive,,1
57,1:positive,1:positive,,0.98
58,1:positive,1:positive,,0.97
59,2:negative,2:negative,,0.77
60,1:positive,1:positive,,0.94
61,2:negative,2:negative,,0.88
62,1:positive,1:positive,,0.96
63,2:negative,2:negative,,0.86
64,1:positive,1:positive,,0.95
65,1:positive,1:positive,,0.95
66,1:positive,1:positive,,0.96
67,1:positive,1:positive,,1
68,1:positive,1:positive,,0.98
69,1:positive,1:positive,,0.87
70,1:positive,1:positive,,0.8
71,1:positive,1:positive,,0.88
72,1:positive,1:positive,,0.95
73,1:positive,1:positive,,0.86
74,1:positive,1:positive,,0.96
75,1:positive,1:positive,,0.89
76,2:negative,2:negative,,0.77
77,1:positive,1:positive,,0.94
78,1:positive,1:positive,,0.88
79,1:positive,1:positive,,0.98
80,1:positive,1:positive,,0.97
81,1:positive,1:positive,,1
82,1:positive,1:positive,,0.93
83,1:positive,1:positive,,0.86
84,2:negative,2:negative,,0.8
85,1:positive,1:positive,,0.98
86,1:positive,1:positive,,0.96
87,1:positive,1:positive,,0.98
88,2:negative,2:negative,,0.88
89,1:positive,1:positive,,0.95
90,2:negative,2:negative,,0.9
91,1:positive,1:positive,,0.97
92,1:positive,1:positive,,0.92
93,1:positive,1:positive,,0.92
94,1:positive,1:positive,,0.99
95,1:positive,1:positive,,0.94
96,1:positive,1:positive,,0.8
97,1:positive,1:positive,,0.91
98,1:positive,1:positive,,0.96
99,1:positive,1:positive,,0.84
100,1:positive,1:positive,,0.96
101,1:positive,1:positive,,0.94
102,1:positive,1:positive,,0.97
103,1:positive,1:positive,,0.98
104,1:positive,1:positive,,0.94
105,1:positive,1:positive,,0.98
106,1:positive,1:positive,,0.92
107,1:positive,1:positive,,0.87
108,1:positive,1:positive,,0.97
109,2:negative,2:negative,,0.81
110,1:positive,1:positive,,0.94
111,1:positive,1:positive,,0.93
112,1:positive,1:positive,,0.92
113,1:positive,1:positive,,0.99
114,1:positive,1:positive,,0.93
115,1:positive,1:positive,,0.9
116,1:positive,1:positive,,0.94
117,1:positive,1:positive,,0.86
118,2:negative,2:negative,,0.9
119,1:positive,1:positive,,0.94
120,1:positive,1:positive,,0.97
121,1:positive,1:positive,,0.97
122,1:positive,1:positive,,0.85
123,1:positive,1:positive,,0.94
124,1:positive,1:positive,,0.99
125,1:positive,1:positive,,0.93
126,2:negative,2:negative,,0.78
127,1:positive,1:positive,,0.92
128,1:positive,1:positive,,0.96
129,1:positive,1:positive,,0.85
130,2:negative,2:negative,,0.96
131,2:negative,2:negative,,0.86
132,2:negative,2:negative,,0.89
133,1:positive,1:positive,,0.95
134,2:negative,2:negative,,0.91
135,1:positive,1:positive,,0.99
136,1:positive,1:positive,,0.83
137,1:positive,1:positive,,0.96
138,2:negative,2:negative,,0.87
139,1:positive,1:positive,,0.98
140,2:negative,2:negative,,0.81
141,1:positive,1:positive,,0.96
142,1:positive,1:positive,,0.97
143,2:negative,2:negative,,0.76
144,2:negative,2:negative,,0.82
145,1:positive,1:positive,,0.94
146,1:positive,1:positive,,0.96
147,1:positive,1:positive,,0.88
148,1:positive,1:positive,,0.9
149,1:positive,1:positive,,0.91
150,1:positive,1:positive,,0.9
151,2:negative,2:negative,,0.97
152,1:positive,1:positive,,0.98
153,2:negative,2:negative,,0.82
154,1:positive,1:positive,,0.96
155,1:positive,1:positive,,1
156,1:positive,1:positive,,0.96
157,1:positive,1:positive,,0.98
158,1:positive,1:positive,,1
159,1:positive,1:positive,,0.9
160,1:positive,1:positive,,0.91
161,1:positive,1:positive,,0.94
162,1:positive,1:positive,,0.96
163,2:negative,2:negative,,0.9
164,2:negative,2:negative,,0.72
165,1:positive,1:positive,,0.96
166,2:negative,2:negative,,0.98
167,1:positive,1:positive,,0.98
168,2:negative,2:negative,,0.89
169,1:positive,1:positive,,0.89
170,1:positive,1:positive,,0.94
171,2:negative,2:negative,,0.84
172,1:positive,1:positive,,0.93
173,1:positive,1:positive,,0.96
174,1:positive,1:positive,,0.96
175,1:positive,1:positive,,0.92
176,1:positive,1:positive,,0.97
177,1:positive,1:positive,,0.84
178,1:positive,1:positive,,0.89
179,1:positive,1:positive,,0.9
180,1:positive,1:positive,,1
181,1:positive,1:positive,,0.95
182,1:positive,1:positive,,0.98
183,1:positive,1:positive,,0.93
184,1:positive,1:positive,,1
