=== Run information ===

Scheme:       weka.classifiers.trees.RandomForest -P 100 -I 100 -num-slots 1 -K 0 -M 1.0 -V 0.001 -S 1
Relation:     final_train
Instances:    40000
Attributes:   658
              [list of attributes omitted]
Test mode:    evaluate on training data

=== Classifier model (full training set) ===

RandomForest

Bagging with 100 iterations and base learner

weka.classifiers.trees.RandomTree -K 0 -M 1.0 -V 0.001 -S 1 -do-not-check-capabilities

Time taken to build model: 751.52 seconds

=== Predictions on training set ===

inst#,actual,predicted,error,prediction
1,1:negative,1:negative,,0.73
2,2:positive,2:positive,,0.95
3,3:neutral,3:neutral,,0.72
4,3:neutral,3:neutral,,0.77
5,2:positive,2:positive,,0.9
6,1:negative,1:negative,,0.89
7,2:positive,2:positive,,0.81
8,2:positive,2:positive,,0.78
9,2:positive,2:positive,,0.85
10,2:positive,2:positive,,0.87
11,3:neutral,3:neutral,,0.71
12,2:positive,2:positive,,0.9
13,2:positive,2:positive,,0.88
14,2:positive,2:positive,,0.87
15,2:positive,2:positive,,0.86
16,1:negative,1:negative,,0.68
17,2:positive,2:positive,,0.95
18,3:neutral,3:neutral,,0.73
19,2:positive,2:positive,,0.86
20,2:positive,2:positive,,0.86
21,3:neutral,3:neutral,,0.77
22,1:negative,1:negative,,0.89
23,2:positive,2:positive,,0.92
24,2:positive,2:positive,,0.8
25,2:positive,2:positive,,0.87
26,2:positive,2:positive,,0.85
27,2:positive,2:positive,,0.78
28,2:positive,2:positive,,0.901
29,2:positive,2:positive,,0.92
30,2:positive,2:positive,,0.94
31,1:negative,1:negative,,0.87
32,2:positive,2:positive,,0.7
33,2:positive,2:positive,,0.93
34,3:neutral,3:neutral,,0.75
35,3:neutral,3:neutral,,0.77
36,2:positive,2:positive,,0.91
37,3:neutral,3:neutral,,0.62
38,2:positive,2:positive,,0.86
39,1:negative,1:negative,,0.81
40,1:negative,1:negative,,0.81
41,2:positive,2:positive,,0.79
42,3:neutral,3:neutral,,0.72
43,2:positive,2:positive,,0.94
44,1:negative,1:negative,,0.9
45,2:positive,2:positive,,0.94
46,1:negative,1:negative,,0.86
47,2:positive,2:positive,,0.89
48,3:neutral,3:neutral,,0.74
49,2:positive,2:positive,,0.83
50,2:positive,2:positive,,0.9
51,1:negative,1:negative,,0.86
52,1:negative,1:negative,,0.74
53,2:positive,2:positive,,0.85
54,2:positive,2:positive,,0.91
55,2:positive,2:positive,,0.89
56,2:positive,2:positive,,0.97
57,2:positive,2:positive,,0.82
58,2:positive,2:positive,,0.8
59,1:negative,1:negative,,0.88
60,1:negative,1:negative,,0.77
61,1:negative,1:negative,,0.802
62,3:neutral,3:neutral,,0.83
63,2:positive,2:positive,,0.96
64,3:neutral,3:neutral,,0.72
65,2:positive,2:positive,,0.84
66,1:negative,1:negative,,0.91
67,3:neutral,3:neutral,,0.73
68,2:positive,2:positive,,0.96
69,2:positive,2:positive,,0.88
70,1:negative,1:negative,,0.71
71,2:positive,2:positive,,0.88
72,2:positive,2:positive,,0.95
73,2:positive,2:positive,,0.9
